Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,2008,InfoVis,Best Paper Award,"Niklas Elmqvist, Member, IEEE, Pierre Dragicevic, and Jean-Daniel Fekete","Visual exploration, visual queries, visual analytics, navigation, multivariate data, interaction.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
A Framework of Interaction Costs in Information Visualization,2008,InfoVis, Interaction,Heidi Lam,"Interaction, Information Visualization, Framework, Interface Evaluation",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Balloon Focus: a Seamless Multi-Focus+Context Method for Treemaps,2008,InfoVis, Interaction,Ying Tu and Han-Wei Shen,"Treemap, focus+context, multi-focus, ﬁsheye, magniﬁcation, visualizing query results, multi-scale viewing.",0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
Multi-Focused Geospatial Analysis Using Probes,2008,InfoVis, Interaction,"Thomas Butkiewicz, Wenwen Dou, Zachary Wartell, William Ribarsky, and Remco Chang","Multiple-view techniques, geospatial visualization, geospatial analysis, focus + context, probes",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Distributed Cognition as a Theoretical Framework for Information Visualization,2008,InfoVis, Interaction,"Zhicheng Liu, Nancy J. Nersessian, and John T. Stasko, Member, IEEE","Information visualization, distributed cognition, interaction, representation, theory and methods",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EMDialog: Bringing Information Visualization into the Museum,2008,InfoVis,Visualization for the Masses,"Uta Hinrichs, Holly Schmidt, and Sheelagh Carpendale","Uta Hinrichs, Holly Schmidt, and Sheelagh Carpendale",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Graphical Histories for Visualization: Supporting Analysis, Communication, and Evaluation",2008,InfoVis,Visualization for the Masses,"Jeffrey Heer, Jock D. Mackinlay, Chris Stolte, and Maneesh Agrawala","Visualization, history, undo, analysis, presentation, evaluation.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Who Votes For What?A Visual Query Language for Opinion Data,2008,InfoVis,Visualization for the Masses,"Geoffrey M. Draper, Member, IEEE, and Richard F. Riesenfeld","Visual query languages, radial visualization, data analysis, human-computer interaction.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VisGets: Coordinated Visualizations for Web-based Information Exploration and Discovery,2008,InfoVis,Visualization for the Masses,VisGets: Coordinated Visualizations for Web-based Information Exploration and Discovery,"Information visualization, World Wide Web, information retrieval, exploratory search, visual information seeking.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Vispedia: Interactive Visual Exploration of Wikipedia Data via Search-Based Integration,2008,InfoVis,Text Visualization,Vispedia: Interactive Visual Exploration of Wikipedia Data via Search-Based Integration,"Information visualization, Data integration, Wikipedia, Semantic web, Search interfaces",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"The Word Tree, an Interactive Visual Concordance",2008,InfoVis,Text Visualization,Martin Wattenberg and Fernanda B. Viégas ,"Text visualization, document visualization, Many Eyes, case study, concordance, information retrieval, search",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HiPP: A Novel Hierarchical Point Placement Strategy and its Application to the Exploration of Document Collections,2008,InfoVis,Text Visualization,HiPP: A Novel Hierarchical Point Placement Strategy and its Application to the Exploration of Document Collections,"Text and document visualization, hierarchical multidimensional visualization, visual knowledge discovery, highdimensional data.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Particle-Based Labeling: Fast Point-Feature Labeling without Obscuring Other Visual Features,2008,InfoVis,Text Visualization,Particle-Based Labeling: Fast Point-Feature Labeling without Obscuring Other Visual Features,"Interactive labeling, dynamic labeling, automatic label placement, occlusion-free, information visualization",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Stacked Graphs – Geometry & Aesthetics,2008,InfoVis,Design,Lee Byron and Martin Wattenberg,"Streamgraph, ThemeRiver, listening history, last.fm, aesthetics, communication-minded visualization, time series.",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Cerebral: Visualizing Multiple Experimental Conditions on a Graph with Biological Context,2008,InfoVis,Design,"Aaron Barsky, Tamara Munzner, Jennifer Gardy, and Robert Kincaid","Graph layout, systems biology visualization, small multiples, design study",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
